>JGI1221J11331_10105342	A_1
>Ga0075469_100045081	C_2
>JGI26524J50256_10013424	C_3
>JGI25321J50212_1000024761	C_4
>JGI26534J51046_10048094	C_5
>Ga0066255_10112101	C_6
>JGI11876J14442_100249803	C_7
>Ga0124846_10101523	C_8
>Ga0074197_100032954	C_9
>Ga0052179_10004654	C_10
>Ga0055531_100005772	C_11
>Ga0123327_10363331	C_12
>JGI26535J51212_10078543	C_13
>Ga0134077_100049035	C_14
>Ga0104756_100023158	C_15
>Ga0123396_1094261	C_16
>JGI24121J20154_10012085	C_17
>Ga0079224_1000014748	C_18
>Ga0097683_100175511	C_19
>Ga0213866_100835201	C_20
>Ga0115570_1000025731	C_21
>Ga0180044_10739453	C_22
>Ga0180046_1016572	C_23
>Ga0079369_10141614	C_24
>Ga0182793_10016051	C_25
>Ga0212090_100077499	C_26
>Ga0079306_10014983	C_27
>Ga0194055_100383723	C_28
>Ga0079299_10131671	C_29
>Ga0190293_10018917	C_30
>Ga0041910_10056185	C_31
>JGI26538J50259_10126482	C_32
>Ga0052186_1001291821	C_33
>Ga0180088_10078771	C_34
>Ga0104756_10119647	C_35
>Ga0097678_10008106	C_36
>AFL54172.1 cytochrome c oxidase subunit 1 [Sinorhizobium fredii USDA 257]	C_37
>Ga0079226_1000215511	C_38
>Ga0180047_10805922	C_39
>Ga0212088_101435421	C_40
>Ga0134086_100565781	C_41
>Ga0079218_100007982	C_42
>PJA76339.1 cytochrome C oxidase Cbb3 [bacterium CG_4_9_14_3_um_filter_65_15]	C_43
>Ga0213835_1043612	C_44
>JGI24130J36418_100019298	C_45
>Ga0075471_100248644	C_46
>Ga0164241_1000217315	C_47
>Ga0172382_100710312	C_48
>Ga0213865_1000034212	C_49
>Ga0104756_100237819	C_50
>Ga0104756_10124774	C_51
>C688J18823_102362081	C_52
>Ga0180086_10161102	C_53
>Ga0079223_100373433	C_54
>SL_3KL_010_SEDDRAFT_100177214	C_55
>Ga0194063_100835212	C_56
>Ga0075518_10036243	C_57
>Ga0212090_100058731	C_58
>Ga0075019_100626703	C_59
>CCF80610.1 Cytochrome c oxidase subunit CcoN [Helicobacter bizzozeronii CCUG 35545]	C_60
>WP_028949989.1 cytochrome oxidase [Sulfurihydrogenibium subterraneum]	C_61
>WP_062676333.1 MULTISPECIES: cytochrome oxidase subunit I [Chryseobacterium]	C_62
>SL_6KL_011_BRINEDRAFT_10038454	C_63
>Ga0079226_100069389	C_64
>Ga0103268_10206781	C_65
>WP_098062646.1 hypothetical protein [Longimonas halophila]	C_66
>Ga0213864_100052113	C_67
>WP_006260112.1 cytochrome oxidase subunit I [Myroides odoratimimus]	C_68
>Ga0079226_100438332	C_69
>WP_036082816.1 cytochrome-c oxidase [Leptospirillum ferriphilum]	C_70
>Ga0232063_10972583	C_71
>Ga0213841_10184142	C_72
>Ga0075030_1000431853	C_73
>Ga0153798_1000591415	C_74
>PMP91556.1 cytochrome oxidase [Hydrogenobaculum sp.]	C_75
>Ga0065721_100117816	C_76
>Ga0134111_100140922	C_77
>Ga0079224_1000728643	C_78
>JGI20187J14854_10002466	C_79
>Ga0075019_100022736	C_80
>Ga0212090_101672911	C_81
>Ga0180432_1001097911	C_82
>Ga0079300_100118703	C_83
>OHB64043.1 cytochrome-c oxidase [Planctomycetes bacterium RBG_13_60_9]	C_84
>Ga0194060_1000052218	C_85
>Ga0182793_10124802	C_86
>SS_3KL_010_SOILDRAFT_100006915	C_87
>Ga0180433_100493803	C_88
>Ga0180084_10081551	C_89
>JGIcombinedJ21913_100089952	C_90
>WP_112177465.1 hypothetical protein [Paraburkholderia unamae]	C_91
>Ga0079224_1001031546	C_92
>TahiMoana_10039312	C_93
>Ga0065721_100668392	C_94
>Ga0179759_10416	C_95
>Ga0066256_1000041365	C_96
>WP_078350520.1 cytochrome oxidase subunit I [Mucilaginibacter pedocola]	C_97
>JGI20206J14855_100003734	C_98
>KVRMV2_1000667062	C_99
>KXS43697.1 Cbb3-type cytochrome oxidase, subunit 1 [Methanolobus sp. T82-4]	C_100
>Ga0212090_100847422	C_101
>Ga0212090_1000572112	C_102
>Ga0213859_101009231	C_103
>Ga0079224_1006205441	C_104
>WP_084080391.1 c-type cytochrome [Edaphobacter aggregans]	C_105
>WP_041676993.1 cb-type cytochrome C oxidase subunit I [Synechococcus elongatus]	C_106
>WP_018985524.1 hypothetical protein [Methylophilus methylotrophus]	C_107
>KiloMoana_1000323810	C_108
>2201468793	C_109
>Ga0180436_100298562	C_110
>Ga0075530_10500371	C_111
>SL_6KL_011_BRINEDRAFT_10043113	C_112
>WP_005368319.1 cytochrome-c oxidase, cbb3-type subunit I [Photobacterium angustum]	C_113
>Ga0172377_100110259	C_114
>Ga0153932_100003282	C_115
>Ga0194047_100560881	C_116
>KiloMoana_1000067717	C_117
>Ga0226655_100323532	C_118
>Ga0104756_10318102	C_119
>JGI25321J50212_1000000787	C_120
>Ga0226655_100165055	C_121
>OIP64044.1 cytochrome C oxidase Cbb3 [Nitrospirae bacterium CG2_30_70_394]	C_122
>Ga0123353_1000006437	C_123
>Ga0058700_10023662	C_124
>Ga0213859_100614471	C_125
>WP_082842800.1 hypothetical protein [Gemmata sp. SH-PL17]	C_126
>ADM89971.1 bifunctional cbb3-type cytochrome c oxidase, ccoN subunit/ccoO subunit [Candidatus Sulcia muelleri CARI]	C_127
>WP_002774068.1 cytochrome oxidase subunit I [Leptonema illini]	C_128
>Cyano_10004202	C_129
>Ga0079223_100850931	C_130
>Ga0079224_1004003582	C_131
>OIP63775.1 cytochrome oxidase [Nitrospirae bacterium CG2_30_70_394]	C_132
>Ga0164241_100172995	C_133
>JGI11876J14442_100186844	C_134
>Ga0137438_10287081	C_135
>Ga0164241_1000106031	C_136
>BAL58755.1 cb-type cytochrome c oxidase subunit I [Candidatus Acetothermum autotrophicum]	C_137
>WP_075833057.1 hypothetical protein [Deinococcus marmoris]	C_138
>Ga0194059_10438471	C_139
>OHB94866.1 hypothetical protein A3I59_05070 [Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16]	C_140
>Ga0075530_10110793	C_141
>Ga0212090_100956341	C_142
>WP_088222856.1 cytochrome oxidase [Chlamydiales bacterium SCGC AB-751-O23]	C_143
>Ga0212090_102693251	C_144
>Ga0212090_1001006513	C_145
>Ga0212088_100673394	C_146
>Ga0105668_100140616	C_147
>Ga0075017_1000456903	C_148
>Ga0075021_100680881	C_149
>Ga0115559_100044318	C_150
>Ga0075518_10126171	C_151
>WP_027414870.1 hypothetical protein [Aneurinibacillus terranovensis]	C_152
>PAW77236.1 hypothetical protein B9S32_12090 [Verrucomicrobia bacterium Tous-C9LFEB]	C_153
>Ga0079218_102112932	C_154
>Ga0079225_100525771	C_155
>Ga0137438_10096332	C_156
>Ga0172382_100277262	C_157
>KVRMV2_1011966562	C_158
>WP_008101186.1 membrane protein [Verrucomicrobiae bacterium DG1235]	C_159
>WP_020717655.1 hypothetical protein [Bryobacterales bacterium KBS 96]	C_160
>Ga0213866_100004468	C_161
>Ga0079226_100042829	C_162
>Ga0212090_100123865	C_163
>KVRMV2_1012069562	C_164
>Ga0172380_100143875	C_165
>Ga0137443_10016985	C_166
>Ga0153954_1000008193	C_167
>Ga0079306_10066945	C_168
>WP_020473065.1 hypothetical protein [Zavarzinella formosa]	C_169
>WP_026690594.1 hypothetical protein [Bacillus aurantiacus]	C_170
>Ga0157326_10004782	C_171
>Ga0079224_1001768071	C_172
>Ga0212090_100233487	C_173
>WP_076004108.1 c-type cytochrome [Dehalogenimonas formicexedens]	C_174
>Ga0212090_101240033	C_175
>Ga0172382_101428402	C_176
>Ga0079224_1001686862	C_177
>Ga0075030_1002574251	C_178
>Ga0172382_1000059550	C_179
>Ga0212088_1000806521	C_180
>Ga0212090_1000047862	C_181
>TahiMoana_10475153	C_182
>Ga0075471_100025442	C_183
>JGI24115J20150_10038221	C_184
>Ga0097681_100188116	C_185
>Ga0226657_100437092	C_186
>Ga0075014_1000168092	C_187
>Ga0079226_100025479	C_188
>Ga0129295_115165981	C_189
>WP_084528134.1 hypothetical protein [Nocardioides dokdonensis]	C_190
>WP_013563280.1 membrane protein [Isosphaera pallida]	C_191
>WP_022662628.1 cytochrome-c oxidase [Desulfovibrio longus]	C_192
>WP_018130475.1 hypothetical protein [Effusibacillus pohliae]	C_193
>JGI20129J51890_100079784	D_1
>JGI20128J18817_10159311	D_2
>EchG_transB_7880CDRAFT_10041112	D_3
>Ospc_00111410 Heme/copper-type cytochrome/quinol oxidases, subunit 1	D_4
>Ga0208549_10044724 terminal oxidase heme-binding subunit I	D_5
>Ga0208429_1006784 heme/copper-type cytochrome/quinol oxidase subunit 1/heme/copper-type cytochrome/quinol oxidase subunit 2	D_6
>Ga0187308_120341 heme bearing subunit I of the terminal oxidase	D_7
>Ga0080006_127417727 Heme/copper-type cytochrome/quinol oxidases, subunit 1	D_8
>BSEYNP_00268020 Heme/copper-type cytochrome/quinol oxidases, subunit 1	D_9
>Ga0326764_000035_35016_36266 cytochrome c oxidase subunit 1/terminal oxidase heme-binding subunit I	D_10
>Ga0208313_1002661 cytochrome c oxidase subunit 1/terminal oxidase heme-binding subunit I	D_11
>2722564583 Ga0180374_1107  heme bearing subunit I of the terminal oxidase [Sulfolobus sp. ZZQ bin_3_2nd : Ga0180374_110]	D_12
>Ga0099835_1723221 Cytochrome C and Quinol oxidase polypeptide I	D_13
>Ga0079638_10000127 Heme/copper-type cytochrome/quinol oxidases, subunit 1	D_14
>Ga0080003_10006052	E_1
>650821999 Mcup_1609  quinol oxidase polypeptide I [Metallosphaera cuprina Ar-4 chromosome: NC_015435]	E_2
>Ga0208549_10119910 cytochrome aa3-600 menaquinol oxidase subunit 1	E_3
>Ga0167615_100058413 cytochrome aa3-600 menaquinol oxidase subunit 1	E_4
>OSPD_00159410 Heme/copper-type cytochrome/quinol oxidases, subunit 1	E_5
>YNPsite14_CeleraDRAFT_147200 Heme/copper-type cytochrome/quinol oxidases, subunit 1	F_1
>BeoS_FeMat_6568CDRAFT_100007632	F_2
>Ga0080006_117661818 Heme/copper-type cytochrome/quinol oxidases, subunit 1	F_3
>Ga0070741_10000061283	G_1
>WP_114796335.1 c-type cytochrome [Gaiella occulta]	G_2
>Ga0070684_1001472131	G_3
>Ga0376032_0102092_275_2215	G_4
>Ga0066903_1004446602	G_5
>Ga0335070_102183371	G_6
>Ga0376028_0059397_228_2138	G_7
>Ga0194060_100183573	G_8
>Ga0335085_100632786	G_9
>Ga0335069_104179951	G_10
>Ga0164305_101333532	G_11
>Ga0247713_10333561	G_12
>Ga0392388_0047496_547_2451	G_13
>Ga0373472_0032204_495_1943	G_14
>Ga0137407_103829711	G_15
>Ga0334937_023580_409_1614	G_16
>Ga0137369_100761843	G_17
>Ga0080003_10012595	H_1
>Ga0074231_102905	H_2
>EQB72844.1 hypothetical protein AMDU1_APLC00001G0024 [Thermoplasmatales archaeon A-plasma]	H_3
>HGW09201.1 hypothetical protein [Euryarchaeota archaeon]	H_4
>Ga0134128_102595041 Heme/copper-type cytochrome/quinol oxidase, subunit 1/Heme/copper-type cytochrome/quinol oxidase, subunit 1	I_1
>Ga0134128_101057983 Heme/copper-type cytochrome/quinol oxidase, subunit 1/Heme/copper-type cytochrome/quinol oxidase, subunit 1	I_2
>Ga0111538_100905054	I_3
>Ga0207060_1009918	I_4
>Ga0187882_10495683 Heme/copper-type cytochrome/quinol oxidase, subunit 1/Heme/copper-type cytochrome/quinol oxidase, subunit 1	I_5
>Ga0111538_105674011	I_6
>Ga0208420_10008753	I_7
>Ga0209109_100330941/1-571 cytochrome c oxidase subunit 1	J_1
>Ga0232646_100051421 cytochrome c oxidase subunit 1	J_2
>Ga0063294_100394333 Heme/copper-type cytochrome/quinol oxidases, subunit 1	J_3
>Ga0182792_10142371	J_4
>Ga0209640_100784583/1-553 cytochrome c oxidase subunit 1	J_5
>WP_042701416.1 hypothetical protein [Azospirillum sp. B506]	J_6
>Ga0209109_100278174/1-527 cytochrome c oxidase subunit 1	J_7
>Ga0256752_10035295 cytochrome c oxidase subunit 1	J_8
>JGI24121J20154_10007843	J_9
>Ga0180104_10214901	J_10
>Ga0256750_10178812 cytochrome c oxidase subunit 1	J_11
>Ga0209751_101662861/1-506 cytochrome c oxidase subunit 1	K_1
>Ga0209324_101940131/1-400 cytochrome c oxidase subunit 1	K_2
>EchG_transB_7880CDRAFT_10055932	K_3
>Ga0209323_101613582/1-441 cytochrome c oxidase subunit 1	K_4
>OLS21932.1 cytochrome c oxidase subunit 1 [Candidatus Heimdallarchaeota archaeon LC_2]	K_5
>Ga0123354_101574214	CNOR_1
>Ga0206123_1000220212	CNOR_2
>Ga0136651_100070703	CNOR_3
>Ga0190316_10357841	CNOR_4
>JGI24121J20154_1000021101	CNOR_5
>Ga0081761_10482411	CNOR_6
>Ga0226835_100024566	CNOR_7
>Ga0190293_10351711	CNOR_8
>JGI24125J20156_10082702	CNOR_9
>WP_013458757.1	CNOR_10
>Ga0075525_100010843	CNOR_11
>WP_110170979.1	CNOR_12
>Ga0194056_100156164	CNOR_13
>JGI25321J50212_100068522	CNOR_14
>Ga0172382_1000326813	CNOR_15
>Ga0194060_100345903	CNOR_16
>WP_090003383.1	CNOR_17
>ACD82102.1	CNOR_18
>Ga0074193_10241321	CNOR_19
>JGI24113J20146_10003282	CNOR_20
>ODS32367.1	CNOR_21
>Ga0137451_10238851	CNOR_22
>KVRMV2_1004833023	CNOR_23
>JGI12419J13241_10275881	CNOR_24
>Ga0136653_100393722	CNOR_25
>JGI25321J50212_1000321310	CNOR_26
>WP_024807245.1	CNOR_27
>ABQ70952.1  Nitric oxide reductase large subunit-like protein [Sphingomonas wittichii RW1]	QNOR_1
>WP_039748680.1  nitric-oxide reductase large subunit [Solimonas variicoloris]	QNOR_2
>ELZ56156.1  cytochrome b subunit of nitric oxide reductase [Halorubrum hochstenium ATCC 700873]	QNOR_3
>Ga0097683_10270373	QNOR_4
>WP_013414602.1  MULTISPECIES: nitric oxide reductase [Rhodococcus]	QNOR_5
>WP_088892465.1  nitric-oxide reductase large subunit [Leptolyngbya ohadii]	QNOR_6
>WP_013448633.1  nitric-oxide reductase large subunit [Neisseria lactamica]	QNOR_7
>WP_028122305.1  nitric-oxide reductase large subunit [Chryseobacterium tenax]	QNOR_8
>WP_006260296.1  MULTISPECIES: nitric-oxide reductase large subunit [Myroides]	QNOR_9
>WP_028110731.1  nitric-oxide reductase large subunit [Ferrimonas futtsuensis]	QNOR_10
>WP_007145615.1  nitric-oxide reductase large subunit [Methylophaga aminisulfidivorans]	QNOR_11
>WP_085278116.1  nitric-oxide reductase large subunit [Paenibacillus barengoltzii]	QNOR_12
>OGW79224.1  hypothetical protein A3B72_01295 [Omnitrophica bacterium RIFCSPHIGHO2_02_FULL_45_28]	QNOR_13
>WP_005871725.1  nitric-oxide reductase large subunit [Campylobacter gracilis]	QNOR_14
>WP_005385467.1  nitric-oxide reductase large subunit [Veillonella dispar]	QNOR_15
>PIU65572.1  nitric-oxide reductase large subunit [Armatimonadetes bacterium CG07_land_8_20_14_0_80_59_28]	QNOR_16
>WP_015898961.1  nitric oxide reductase [Persephonella marina]	QNOR_17
>WP_006502204.1  nitric-oxide reductase large subunit [Austwickia chelonae]	QNOR_18
>WP_008625308.1  nitric-oxide reductase, quinol-dependent [Mariniradius saccharolyticus]	QNOR_19
>WP_007807515.1  nitric oxide reductase [Rhodanobacter spathiphylli]	QNOR_20
>WP_014468878.1  nitric oxide reductase [Arcobacter butzleri]	QNOR_21
>Ga0226657_100399881	QNOR_22
>WP_007102838.1  nitric-oxide reductase large subunit [Paraglaciecola polaris]	QNOR_23
>WP_006984139.1  nitric-oxide reductase large subunit [Cardiobacterium valvarum]	QNOR_24
>Ga0232065_1018005	QNOR_25
>WP_019722191.1  nitric-oxide reductase large subunit [Bacillus coagulans]	QNOR_26
>AFA39872.1  Nitric oxide reductase large subunit [Pyrobaculum oguniense TE7]	QNOR_27
>WP_037326450.1  nitric oxide reductase [Asinibacterium sp. OR43]	QNOR_28
>WP_010625032.1  nitric oxide reductase [Lactobacillus versmoldensis]	QNOR_29
>Ga0123331_10173422	QNOR_30
>WP_013399013.1  MULTISPECIES: nitric oxide reductase [Rothia]	QNOR_31
>WP_008422910.1  nitric oxide reductase [Natronococcus jeotgali]	QNOR_32
>JGI25321J50212_1000015629	QNOR_33
>WP_013336562.1  nitric-oxide reductase large subunit [Vulcanisaeta distributa]	QNOR_34
>WP_004513650.1  nitric-oxide reductase large subunit [Geobacter metallireducens]	QNOR_35
>WP_012970151.1  nitric oxide reductase [Allochromatium vinosum]	QNOR_36
>WP_012235912.1  nitric-oxide reductase large subunit [Sorangium cellulosum]	QNOR_37
>WP_011521171.1  nitric-oxide reductase large subunit [Candidatus Koribacter versatilis]	QNOR_38
>CCB87448.1  nitric oxide reductase, subunit B [Parachlamydia acanthamoebae UV-7]	QNOR_39
>WP_081412127.1  nitric oxide reductase [Alicyclobacillus herbarius]	QNOR_40
>WP_013266565.1  nitric oxide reductase [Acidilobus saccharovorans]	QNOR_41
>WP_021266481.1  nitric-oxide reductase large subunit [Bacteriovorax sp. BAL6_X]	QNOR_42
>WP_051263120.1  nitric-oxide reductase large subunit [Tuberibacillus calidus]	QNOR_43
>JGI11944J13513_10020607	QNOR_44
>JGI25321J50212_1000301910	QNOR_45
>WP_012633678.1  nitric-oxide reductase large subunit [Anaeromyxobacter dehalogenans]	QNOR_46
>WP_083846728.1  hypothetical protein [Desulfomonile tiedjei]	QNOR_47
>WP_022949694.1  nitric oxide reductase [Methylohalobius crimeensis]	QNOR_48
>WP_052572002.1  nitric-oxide reductase large subunit [Geothrix fermentans]	QNOR_49
>WP_013076081.1  nitric-oxide reductase large subunit [Kyrpidia tusciae]	QNOR_50
>WP_020583206.1  nitric-oxide reductase large subunit [Endozoicomonas elysicola]	QNOR_51
>WP_014034207.1  nitric oxide reductase [Muricauda ruestringensis]	QNOR_52
>WP_012513397.1  nitric oxide reductase [Hydrogenobaculum sp. Y04AAS1]	QNOR_53
>WP_008658338.1  nitric-oxide reductase large subunit [Rhodopirellula europaea]	QNOR_54
>WP_015232479.1  nitric oxide reductase large subunit [Caldisphaera lagunensis]	QNOR_55
>Ga0079226_1000202113	BNOR_1
>WP_052256925.1 cytochrome c [Salinicoccus sp. YB14-2]	BNOR_2
>WP_090841765.1	BNOR_3
>OJV53446.1 cytochrome C oxidase subunit I [Burkholderiales bacterium 68-10]	ENOR_1
>Ga0376032_0016378_3454_5184/1-576 cytochrome c oxidase subunit 1	ENOR_2
>SS_2KS_010_SOILDRAFT_100419332	ENOR_3
>Ga0209751_100030324/1-555 cytochrome c oxidase subunit 1	ENOR_4
>Ga0172380_1000229713	ENOR_5
>Ga0209324_100781402/1-504 cytochrome c oxidase subunit 1	ENOR_6
>WP_007700404.1 cytochrome c oxidase subunit I [Halovivax asiaticus]	ENOR_7
>C687J26845_100118963/1-561 Heme/copper-type cytochrome/quinol oxidases, subunit 1	ENOR_8
>SS_3KL_010_SOILDRAFT_100047233	ENOR_9
>Ga0164241_100070323	ENOR_10
>WP_012962803.1 cytochrome c oxidase subunit I [Hydrogenobacter thermophilus]	ENOR_11
>GBD10104.1 Cytochrome c oxidase subunit 1 [bacterium HR22]	ENOR_12
>Ga0209642_100653023/1-502 cytochrome c oxidase subunit 1	ENOR_13
>GL0_10817941	ENOR_14
>SL_1KL_011_SEDDRAFT_100384653	ENOR_15
>Ga0126384_101670232/1-432 cytochrome c oxidase subunit 1	ENOR_16
>SL_3KL_010_SEDDRAFT_100128706	ENOR_17
>Ga0104756_100107838	ENOR_18
>Ga0181858_10281851	ENOR_19
>WP_075426648.1 cytochrome C oxidase subunit I [Candidatus Kryptonium thompsoni]	ENOR_20
>Ga0232064_1027733	ENOR_21
>Ga0075530_10634041	ENOR_22
>KVRMV2_1000394206	ENOR_23
>Ga0123357_101554282	GNOR_1
>Abe_100544282	GNOR_2
>OQY19783.1 hypothetical protein B6I34_09195 [Anaerolineaceae bacterium 4572_32.1]	GNOR_3
>OHE00888.1 cytochrome C oxidase subunit I [Sulfurimonas sp. RIFCSPLOWO2_02_FULL_36_28]	GNOR_4
>OGW14262.1 cytochrome C oxidase subunit I [Nitrospirae bacterium GWA2_42_11]	GNOR_5
>WP_082116978.1 hypothetical protein [Sedimenticola thiotaurini]	NNOR_1
>PKO72529.1 hypothetical protein CVU20_01960 [Betaproteobacteria bacterium HGW-Betaproteobacteria-14]	NNOR_2
>GBIDBA_1000276812	NNOR_3
>HHP27724.1 cbb3-type cytochrome c oxidase subunit I [Nitrososphaeria archaeon]	NNOR_4
>WP_015922264.1 cytochrome C and Quinol oxidase polypeptide I superfamily [Thermomicrobium roseum]	NNOR_5
>WP_088571159.1 cbb3-type cytochrome c oxidase subunit I [Thermoflexus hugenholtzii]	NNOR_6
>Ga0063293_100044787 Heme/copper-type cytochrome/quinol oxidases, subunit 1	NNOR_7
>Ga0124846_10102994	SNOR_1
>Ga0164241_100453884	SNOR_2
>JGI26528J50254_100011764	SNOR_3
>Ga0079224_1000497617	SNOR_4
>WP_095244296.1 cytochrome C oxidase subunit I [Bacillus sp. 7894-2]	SNOR_5
>NICFPass4AFXDRAFT_000008136	SNOR_6
>WP_026143103.1 MULTISPECIES: cytochrome c oxidase subunit I [unclassified Thioalkalivibrio]	SNOR_7
>Ga0213839_10311652	SNOR_8
>WP_046849534.1 cytochrome c oxidase subunit I [Nitrosomonas communis]	SNOR_9
>Ga0172382_100443852	SNOR_10
>JGI26538J50259_100109511	SNOR_11
>JGI20191J14862_10104142	SNOR_12
>Ga0134076_100026373	SNOR_13
>Ga0172382_100453691	SNOR_14
>Ga0184650_10142	SNOR_15
>JGI24707J26582_100042447	SNOR_16
>Ga0164241_100584351	SNOR_17
>ElkS_mat_CD6ADRAFT_10004669	SNOR_18
>CUU01319.1 cytochrome c oxidase subunit 1 [Candidatus Kryptobacter tengchongensis]	SNOR_19
>Ga0115564_100326954	SNOR_20
>Ga0226835_10020218	SNOR_21
>JGI20189J14885_10025265	SNOR_22
>OJU95038.1 hypothetical protein BGO23_07750 [Solirubrobacterales bacterium 67-14]	SNOR_23
>GBC76948.1 Cytochrome c oxidase subunit 1-beta [bacterium HR08]	SNOR_24
>OFW14006.1 hypothetical protein A3H29_14865 [Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21]	SNOR_25
>KVRMV2_10000210211	SNOR_26
>Ga0079221_101072532	SNOR_27
>Ga0075014_1000133194	SNOR_28
>Ga0137435_10124441	SNOR_29
>WP_008618055.1 cytochrome c oxidase subunit I [Magnetospirillum caucaseum]	SNOR_30
>OJV27025.1 hypothetical protein BGO32_11215 [Bacteroidetes bacterium 37-13]	SNOR_31
>JGI20189J14885_10000459	SNOR_32
>KXK21979.1 cytochrome C oxidase [Bacteroidetes bacterium OLB12]	SNOR_33
>Ga0097691_10051814	SNOR_34
>CBE67864.1 Putative cytochrome c oxidase, subunit I [Candidatus Methylomirabilis oxyfera]	SNOR_35
>ODS59411.1 hypothetical protein ABS36_00280 [Acidobacteria bacterium SCN 69-37]	SNOR_36
>Ga0376030_0122240_301_2394	SNOR_37
>Ga0232062_11419662	SNOR_38
>OQY90785.1 hypothetical protein B6D38_03355 [Anaerolineae bacterium UTCFX1]	SNOR_39
>WP_093281066.1 cytochrome C oxidase subunit I [Solimonas aquatica]	SNOR_40
>Ga0172382_1001240513	SNOR_41
>ODT02661.1 hypothetical protein ABS52_12640 [Gemmatimonadetes bacterium SCN 70-22]	SNOR_42
>OGG95447.1 hypothetical protein A2527_04895 [Candidatus Lambdaproteobacteria bacterium RIFOXYD2_FULL_50_16]	SNOR_43
>Ga0232057_12847901	SNOR_44
>WP_054966397.1 cytochrome c oxidase subunit I [Thiohalorhabdus denitrificans]	SNOR_45
>GBD41338.1 Cytochrome c oxidase subunit 1 [bacterium HR39]	SNOR_46
>WP_031407388.1 cbb3-type cytochrome c oxidase subunit I [Thiomonas sp. FB-Cd]	SNOR_47
>Ga0172382_1000038470	SNOR_48
>WP_008477296.1 hypothetical protein [Nitrolancea hollandica]	SNOR_49
>WP_013294400.1 cytochrome c oxidase subunit I [Gallionella capsiferriformans]	SNOR_50
>WP_147030933.1/1-779 nitric-oxide reductase [Mucilaginibacter ginsenosidivorans]	NOD_1
>MBT38371.1/1-771 nitric-oxide reductase [Deltaproteobacteria bacterium]	NOD_2
>WP_107560884.1/1-812 nitric-oxide reductase [Candidatus Methylomirabilis limnetica]	NOD_3
>WP_106565821.1/1-780 nitric-oxide reductase [Cecembia rubra]	NOD_4
>WP_072880185.1/1-788 nitric-oxide reductase [Muricauda antarctica]	NOD_5
>TAK53461.1/1-758 nitric-oxide reductase [Gammaproteobacteria bacterium]	NOD_6
>MAG58959.1/1-802 nitric-oxide reductase [Planctomycetes bacterium]	NOD_7
>WP_084535461.1/1-752 nitric-oxide reductase [Microbulbifer donghaiensis]	NOD_8
>WP_096896255.1/1-773 nitric-oxide reductase [Candidatus Scalindua japonica]	NOD_9
>HGY92485.1/1-779 nitric-oxide reductase [Planctomycetes bacterium]	NOD_10
>RIK63032.1/1-782 nitric-oxide reductase [Planctomycetes bacterium]	NOD_11
